Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705194659,192.168.1.2,37274,192.168.1.3,5001,1,156.0-157.0,192691152,1541529216
20220705194700,192.168.1.2,37274,192.168.1.3,5001,1,157.0-158.0,190594448,1524755584
20220705194701,192.168.1.2,37274,192.168.1.3,5001,1,158.0-159.0,197702680,1581621440
20220705194702,192.168.1.2,37274,192.168.1.3,5001,1,159.0-160.0,191180888,1529447104
20220705194703,192.168.1.2,37274,192.168.1.3,5001,1,160.0-161.0,196862840,1574902720
20220705194704,192.168.1.2,37274,192.168.1.3,5001,1,161.0-162.0,196985920,1575887360
20220705194705,192.168.1.2,37274,192.168.1.3,5001,1,162.0-163.0,189925472,1519403776
20220705194706,192.168.1.2,37274,192.168.1.3,5001,1,163.0-164.0,192433408,1539467264
20220705194707,192.168.1.2,37274,192.168.1.3,5001,1,164.0-165.0,194935552,1559484416
20220705194708,192.168.1.2,37274,192.168.1.3,5001,1,165.0-166.0,189643112,1517144896
20220705194709,192.168.1.2,37274,192.168.1.3,5001,1,166.0-167.0,191941088,1535528704
20220705194710,192.168.1.2,37274,192.168.1.3,5001,1,167.0-168.0,188014112,1504112896
20220705194711,192.168.1.2,37274,192.168.1.3,5001,1,168.0-169.0,168358960,1346871680
20220705194712,192.168.1.2,37274,192.168.1.3,5001,1,169.0-170.0,188823544,1510588352
20220705194713,192.168.1.2,37274,192.168.1.3,5001,1,170.0-171.0,179708384,1437667072
20220705194714,192.168.1.2,37274,192.168.1.3,5001,1,171.0-172.0,184722808,1477782464
20220705194715,192.168.1.2,37274,192.168.1.3,5001,1,172.0-173.0,184538912,1476311296
20220705194716,192.168.1.2,37274,192.168.1.3,5001,1,173.0-174.0,180462792,1443702336
20220705194717,192.168.1.2,37274,192.168.1.3,5001,1,174.0-175.0,153909368,1231274944
20220705194718,192.168.1.2,37274,192.168.1.3,5001,1,175.0-176.0,157830552,1262644416
20220705194719,192.168.1.2,37274,192.168.1.3,5001,1,176.0-177.0,148790688,1190325504
20220705194720,192.168.1.2,37274,192.168.1.3,5001,1,177.0-178.0,132683136,1061465088
20220705194721,192.168.1.2,37274,192.168.1.3,5001,1,178.0-179.0,103957712,831661696
20220705194722,192.168.1.2,37274,192.168.1.3,5001,1,179.0-180.0,134128240,1073025920
20220705194723,192.168.1.2,37274,192.168.1.3,5001,1,180.0-181.0,77990728,623925824
20220705194724,192.168.1.2,37274,192.168.1.3,5001,1,181.0-182.0,60102136,480817088
20220705194725,192.168.1.2,37274,192.168.1.3,5001,1,182.0-183.0,95943032,767544256
20220705194726,192.168.1.2,37274,192.168.1.3,5001,1,183.0-184.0,83968072,671744576
20220705194727,192.168.1.2,37274,192.168.1.3,5001,1,184.0-185.0,84970088,679760704
20220705194728,192.168.1.2,37274,192.168.1.3,5001,1,185.0-186.0,100457896,803663168
20220705194729,192.168.1.2,37274,192.168.1.3,5001,1,186.0-187.0,92347648,738781184
20220705194730,192.168.1.2,37274,192.168.1.3,5001,1,187.0-188.0,93616096,748928768
20220705194731,192.168.1.2,37274,192.168.1.3,5001,1,188.0-189.0,83577112,668616896
20220705194732,192.168.1.2,37274,192.168.1.3,5001,1,189.0-190.0,75650760,605206080
20220705194733,192.168.1.2,37274,192.168.1.3,5001,1,190.0-191.0,72595480,580763840
20220705194734,192.168.1.2,37274,192.168.1.3,5001,1,191.0-192.0,93478536,747828288
20220705194735,192.168.1.2,37274,192.168.1.3,5001,1,192.0-193.0,56344576,450756608
20220705194736,192.168.1.2,37274,192.168.1.3,5001,1,193.0-194.0,21200168,169601344
20220705194737,192.168.1.2,37274,192.168.1.3,5001,1,194.0-195.0,14422080,115376640
20220705194738,192.168.1.2,37274,192.168.1.3,5001,1,195.0-196.0,10219984,81759872
20220705194739,192.168.1.2,37274,192.168.1.3,5001,1,196.0-197.0,11601376,92811008
20220705194740,192.168.1.2,37274,192.168.1.3,5001,1,197.0-198.0,15044720,120357760
20220705194741,192.168.1.2,37274,192.168.1.3,5001,1,198.0-199.0,8912440,71299520
20220705194742,192.168.1.2,37274,192.168.1.3,5001,1,199.0-200.0,13740072,109920576
20220705194743,192.168.1.2,37274,192.168.1.3,5001,1,200.0-201.0,18537296,148298368
20220705194744,192.168.1.2,37274,192.168.1.3,5001,1,201.0-202.0,16647656,133181248
20220705194745,192.168.1.2,37274,192.168.1.3,5001,1,202.0-203.0,13179696,105437568
20220705194746,192.168.1.2,37274,192.168.1.3,5001,1,203.0-204.0,14005056,112040448
20220705194747,192.168.1.2,37274,192.168.1.3,5001,1,204.0-205.0,8107352,64858816
20220705194748,192.168.1.2,37274,192.168.1.3,5001,1,205.0-206.0,12184920,97479360
20220705194749,192.168.1.2,37274,192.168.1.3,5001,1,206.0-207.0,10567504,84540032
20220705194750,192.168.1.2,37274,192.168.1.3,5001,1,207.0-208.0,8522928,68183424
20220705194751,192.168.1.2,37274,192.168.1.3,5001,1,208.0-209.0,9950656,79605248
20220705194752,192.168.1.2,37274,192.168.1.3,5001,1,209.0-210.0,12509272,100074176
20220705194753,192.168.1.2,37274,192.168.1.3,5001,1,210.0-211.0,6753472,54027776
20220705194754,192.168.1.2,37274,192.168.1.3,5001,1,211.0-212.0,4620568,36964544
20220705194755,192.168.1.2,37274,192.168.1.3,5001,1,212.0-213.0,8333240,66665920
20220705194756,192.168.1.2,37274,192.168.1.3,5001,1,213.0-214.0,9283128,74265024
20220705194757,192.168.1.2,37274,192.168.1.3,5001,1,214.0-215.0,5993272,47946176
20220705194758,192.168.1.2,37274,192.168.1.3,5001,1,215.0-216.0,4139832,33118656
20220705194759,192.168.1.2,37274,192.168.1.3,5001,1,216.0-217.0,4900032,39200256
20220705194800,192.168.1.2,37274,192.168.1.3,5001,1,217.0-218.0,5166464,41331712
20220705194801,192.168.1.2,37274,192.168.1.3,5001,1,218.0-219.0,14813040,118504320
20220705194802,192.168.1.2,37274,192.168.1.3,5001,1,219.0-220.0,162682800,1301462400
20220705194803,192.168.1.2,37274,192.168.1.3,5001,1,220.0-221.0,194084128,1552673024
20220705194804,192.168.1.2,37274,192.168.1.3,5001,1,221.0-222.0,195983904,1567871232
20220705194805,192.168.1.2,37274,192.168.1.3,5001,1,222.0-223.0,191999008,1535992064
20220705194806,192.168.1.2,37274,192.168.1.3,5001,1,223.0-224.0,187849040,1502792320
20220705194807,192.168.1.2,37274,192.168.1.3,5001,1,224.0-225.0,195762360,1566098880
20220705194808,192.168.1.2,37274,192.168.1.3,5001,1,225.0-226.0,190300504,1522404032
20220705194809,192.168.1.2,37274,192.168.1.3,5001,1,226.0-227.0,194699528,1557596224
20220705194810,192.168.1.2,37274,192.168.1.3,5001,1,227.0-228.0,195281624,1562252992
20220705194811,192.168.1.2,37274,192.168.1.3,5001,1,228.0-229.0,193642488,1549139904
20220705194812,192.168.1.2,37274,192.168.1.3,5001,1,229.0-230.0,157236872,1257894976
20220705194813,192.168.1.2,37274,192.168.1.3,5001,1,230.0-231.0,211121296,1688970368
20220705194814,192.168.1.2,37274,192.168.1.3,5001,1,231.0-232.0,165038696,1320309568
20220705194815,192.168.1.2,37274,192.168.1.3,5001,1,232.0-233.0,173299536,1386396288
20220705194816,192.168.1.2,37274,192.168.1.3,5001,1,233.0-234.0,173037448,1384299584
20220705194817,192.168.1.2,37274,192.168.1.3,5001,1,234.0-235.0,190036968,1520295744
20220705194818,192.168.1.2,37274,192.168.1.3,5001,1,235.0-236.0,193746744,1549973952
20220705194819,192.168.1.2,37274,192.168.1.3,5001,1,236.0-237.0,194987680,1559901440
20220705194820,192.168.1.2,37274,192.168.1.3,5001,1,237.0-238.0,193209536,1545676288
20220705194821,192.168.1.2,37274,192.168.1.3,5001,1,238.0-239.0,198517904,1588143232
20220705194822,192.168.1.2,37274,192.168.1.3,5001,1,239.0-240.0,193457144,1547657152
20220705194823,192.168.1.2,37274,192.168.1.3,5001,1,240.0-241.0,189996424,1519971392
20220705194824,192.168.1.2,37274,192.168.1.3,5001,1,241.0-242.0,192915592,1543324736
20220705194825,192.168.1.2,37274,192.168.1.3,5001,1,242.0-243.0,196269160,1570153280
20220705194826,192.168.1.2,37274,192.168.1.3,5001,1,243.0-244.0,194047928,1552383424
20220705194827,192.168.1.2,37274,192.168.1.3,5001,1,244.0-245.0,199593768,1596750144
20220705194828,192.168.1.2,37274,192.168.1.3,5001,1,245.0-246.0,196451608,1571612864
20220705194829,192.168.1.2,37274,192.168.1.3,5001,1,246.0-247.0,190543768,1524350144
20220705194830,192.168.1.2,37274,192.168.1.3,5001,1,247.0-248.0,195120896,1560967168
20220705194831,192.168.1.2,37274,192.168.1.3,5001,1,248.0-249.0,196871528,1574972224
20220705194832,192.168.1.2,37274,192.168.1.3,5001,1,249.0-250.0,172109280,1376874240
20220705194833,192.168.1.2,37274,192.168.1.3,5001,1,250.0-251.0,194764688,1558117504
20220705194834,192.168.1.2,37274,192.168.1.3,5001,1,251.0-252.0,195763808,1566110464
20220705194835,192.168.1.2,37274,192.168.1.3,5001,1,252.0-253.0,192740384,1541923072
20220705194836,192.168.1.2,37274,192.168.1.3,5001,1,253.0-254.0,198362968,1586903744
20220705194837,192.168.1.2,37274,192.168.1.3,5001,1,254.0-255.0,192117744,1536941952
20220705194838,192.168.1.2,37274,192.168.1.3,5001,1,255.0-256.0,193455696,1547645568
20220705194839,192.168.1.2,37274,192.168.1.3,5001,1,256.0-257.0,196189520,1569516160
20220705194840,192.168.1.2,37274,192.168.1.3,5001,1,257.0-258.0,194365040,1554920320
20220705194841,192.168.1.2,37274,192.168.1.3,5001,1,258.0-259.0,195716024,1565728192
20220705194842,192.168.1.2,37274,192.168.1.3,5001,1,259.0-260.0,196054856,1568438848
20220705194843,192.168.1.2,37274,192.168.1.3,5001,1,260.0-261.0,198358624,1586868992
20220705194844,192.168.1.2,37274,192.168.1.3,5001,1,261.0-262.0,192294400,1538355200
20220705194845,192.168.1.2,37274,192.168.1.3,5001,1,262.0-263.0,192478296,1539826368
20220705194846,192.168.1.2,37274,192.168.1.3,5001,1,263.0-264.0,194965960,1559727680
20220705194847,192.168.1.2,37274,192.168.1.3,5001,1,264.0-265.0,193866928,1550935424
20220705194848,192.168.1.2,37274,192.168.1.3,5001,1,265.0-266.0,196677496,1573419968
20220705194849,192.168.1.2,37274,192.168.1.3,5001,1,266.0-267.0,183751200,1470009600
20220705194850,192.168.1.2,37274,192.168.1.3,5001,1,267.0-268.0,192848984,1542791872
20220705194851,192.168.1.2,37274,192.168.1.3,5001,1,268.0-269.0,194528664,1556229312
20220705194852,192.168.1.2,37274,192.168.1.3,5001,1,269.0-270.0,193419496,1547355968
20220705194853,192.168.1.2,37274,192.168.1.3,5001,1,270.0-271.0,194515632,1556125056
20220705194854,192.168.1.2,37274,192.168.1.3,5001,1,271.0-272.0,197007640,1576061120
20220705194855,192.168.1.2,37274,192.168.1.3,5001,1,272.0-273.0,193722128,1549777024
20220705194856,192.168.1.2,37274,192.168.1.3,5001,1,273.0-274.0,197120584,1576964672
20220705194857,192.168.1.2,37274,192.168.1.3,5001,1,274.0-275.0,195862272,1566898176
20220705194858,192.168.1.2,37274,192.168.1.3,5001,1,275.0-276.0,194205760,1553646080
20220705194859,192.168.1.2,37274,192.168.1.3,5001,1,276.0-277.0,194188384,1553507072
20220705194900,192.168.1.2,37274,192.168.1.3,5001,1,277.0-278.0,194925416,1559403328
20220705194901,192.168.1.2,37274,192.168.1.3,5001,1,278.0-279.0,190287472,1522299776
20220705194902,192.168.1.2,37274,192.168.1.3,5001,1,279.0-280.0,191661624,1533292992
20220705194903,192.168.1.2,37274,192.168.1.3,5001,1,280.0-281.0,195956392,1567651136
20220705194904,192.168.1.2,37274,192.168.1.3,5001,1,281.0-282.0,194363592,1554908736
20220705194905,192.168.1.2,37274,192.168.1.3,5001,1,282.0-283.0,198083504,1584668032
20220705194906,192.168.1.2,37274,192.168.1.3,5001,1,283.0-284.0,174966184,1399729472
20220705194907,192.168.1.2,37274,192.168.1.3,5001,1,284.0-285.0,154238064,1233904512
20220705194908,192.168.1.2,37274,192.168.1.3,5001,1,285.0-286.0,168121488,1344971904
20220705194909,192.168.1.2,37274,192.168.1.3,5001,1,286.0-287.0,170073392,1360587136
20220705194910,192.168.1.2,37274,192.168.1.3,5001,1,287.0-288.0,193187816,1545502528
20220705194911,192.168.1.2,37274,192.168.1.3,5001,1,288.0-289.0,195962184,1567697472
20220705194912,192.168.1.2,37274,192.168.1.3,5001,1,289.0-290.0,197835896,1582687168
20220705194913,192.168.1.2,37274,192.168.1.3,5001,1,290.0-291.0,191807872,1534462976
20220705194914,192.168.1.2,37274,192.168.1.3,5001,1,291.0-292.0,195986800,1567894400
20220705194915,192.168.1.2,37274,192.168.1.3,5001,1,292.0-293.0,193163200,1545305600
20220705194916,192.168.1.2,37274,192.168.1.3,5001,1,293.0-294.0,187447944,1499583552
20220705194917,192.168.1.2,37274,192.168.1.3,5001,1,294.0-295.0,184751768,1478014144
20220705194918,192.168.1.2,37274,192.168.1.3,5001,1,295.0-296.0,189021920,1512175360
