Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706200854,192.168.1.2,54076,192.168.1.3,5001,1,134.0-135.0,28112920,224903360
20220706200855,192.168.1.2,54076,192.168.1.3,5001,1,135.0-136.0,132076424,1056611392
20220706200856,192.168.1.2,54076,192.168.1.3,5001,1,136.0-137.0,160077848,1280622784
20220706200857,192.168.1.2,54076,192.168.1.3,5001,1,137.0-138.0,108330672,866645376
20220706200858,192.168.1.2,54076,192.168.1.3,5001,1,138.0-139.0,162976744,1303813952
20220706200859,192.168.1.2,54076,192.168.1.3,5001,1,139.0-140.0,195382984,1563063872
20220706200900,192.168.1.2,54076,192.168.1.3,5001,1,140.0-141.0,190268648,1522149184
20220706200901,192.168.1.2,54076,192.168.1.3,5001,1,141.0-142.0,193280488,1546243904
20220706200902,192.168.1.2,54076,192.168.1.3,5001,1,142.0-143.0,198730760,1589846080
20220706200903,192.168.1.2,54076,192.168.1.3,5001,1,143.0-144.0,187019336,1496154688
20220706200904,192.168.1.2,54076,192.168.1.3,5001,1,144.0-145.0,137520904,1100167232
20220706200905,192.168.1.2,54076,192.168.1.3,5001,1,145.0-146.0,164599952,1316799616
20220706200906,192.168.1.2,54076,192.168.1.3,5001,1,146.0-147.0,114433992,915471936
20220706200907,192.168.1.2,54076,192.168.1.3,5001,1,147.0-148.0,53494912,427959296
20220706200908,192.168.1.2,54076,192.168.1.3,5001,1,148.0-149.0,54402808,435222464
20220706200909,192.168.1.2,54076,192.168.1.3,5001,1,149.0-150.0,54989248,439913984
20220706200910,192.168.1.2,54076,192.168.1.3,5001,1,150.0-151.0,139921688,1119373504
20220706200911,192.168.1.2,54076,192.168.1.3,5001,1,151.0-152.0,96431008,771448064
20220706200912,192.168.1.2,54076,192.168.1.3,5001,1,152.0-153.0,107399608,859196864
20220706200913,192.168.1.2,54076,192.168.1.3,5001,1,153.0-154.0,161036424,1288291392
20220706200914,192.168.1.2,54076,192.168.1.3,5001,1,154.0-155.0,181556032,1452448256
20220706200915,192.168.1.2,54076,192.168.1.3,5001,1,155.0-156.0,184142160,1473137280
20220706200916,192.168.1.2,54076,192.168.1.3,5001,1,156.0-157.0,184436104,1475488832
20220706200917,192.168.1.2,54076,192.168.1.3,5001,1,157.0-158.0,181295392,1450363136
20220706200918,192.168.1.2,54076,192.168.1.3,5001,1,158.0-159.0,145167792,1161342336
20220706200919,192.168.1.2,54076,192.168.1.3,5001,1,159.0-160.0,139058680,1112469440
20220706200920,192.168.1.2,54076,192.168.1.3,5001,1,160.0-161.0,151150928,1209207424
20220706200921,192.168.1.2,54076,192.168.1.3,5001,1,161.0-162.0,68625064,549000512
20220706200922,192.168.1.2,54076,192.168.1.3,5001,1,162.0-163.0,44058296,352466368
20220706200923,192.168.1.2,54076,192.168.1.3,5001,1,163.0-164.0,60435176,483481408
20220706200924,192.168.1.2,54076,192.168.1.3,5001,1,164.0-165.0,129509120,1036072960
20220706200925,192.168.1.2,54076,192.168.1.3,5001,1,165.0-166.0,108236552,865892416
20220706200926,192.168.1.2,54076,192.168.1.3,5001,1,166.0-167.0,105250776,842006208
20220706200927,192.168.1.2,54076,192.168.1.3,5001,1,167.0-168.0,185600296,1484802368
20220706200928,192.168.1.2,54076,192.168.1.3,5001,1,168.0-169.0,183474632,1467797056
20220706200929,192.168.1.2,54076,192.168.1.3,5001,1,169.0-170.0,187985152,1503881216
20220706200930,192.168.1.2,54076,192.168.1.3,5001,1,170.0-171.0,188891600,1511132800
20220706200931,192.168.1.2,54076,192.168.1.3,5001,1,171.0-172.0,138482376,1107859008
20220706200932,192.168.1.2,54076,192.168.1.3,5001,1,172.0-173.0,159206152,1273649216
20220706200933,192.168.1.2,54076,192.168.1.3,5001,1,173.0-174.0,123724360,989794880
20220706200934,192.168.1.2,54076,192.168.1.3,5001,1,174.0-175.0,47450960,379607680
20220706200935,192.168.1.2,54076,192.168.1.3,5001,1,175.0-176.0,139807296,1118458368
20220706200936,192.168.1.2,54076,192.168.1.3,5001,1,176.0-177.0,51836952,414695616
20220706200937,192.168.1.2,54076,192.168.1.3,5001,1,177.0-178.0,118048200,944385600
20220706200938,192.168.1.2,54076,192.168.1.3,5001,1,178.0-179.0,155396464,1243171712
20220706200939,192.168.1.2,54076,192.168.1.3,5001,1,179.0-180.0,92517064,740136512
20220706200940,192.168.1.2,54076,192.168.1.3,5001,1,180.0-181.0,124000928,992007424
20220706200941,192.168.1.2,54076,192.168.1.3,5001,1,181.0-182.0,186112888,1488903104
20220706200942,192.168.1.2,54076,192.168.1.3,5001,1,182.0-183.0,191105592,1528844736
20220706200943,192.168.1.2,54076,192.168.1.3,5001,1,183.0-184.0,194097160,1552777280
20220706200944,192.168.1.2,54076,192.168.1.3,5001,1,184.0-185.0,195588600,1564708800
20220706200945,192.168.1.2,54076,192.168.1.3,5001,1,185.0-186.0,193432528,1547460224
20220706200946,192.168.1.2,54076,192.168.1.3,5001,1,186.0-187.0,189540304,1516322432
20220706200947,192.168.1.2,54076,192.168.1.3,5001,1,187.0-188.0,132965496,1063723968
20220706200948,192.168.1.2,54076,192.168.1.3,5001,1,188.0-189.0,131992440,1055939520
20220706200949,192.168.1.2,54076,192.168.1.3,5001,1,189.0-190.0,70663848,565310784
20220706200950,192.168.1.2,54076,192.168.1.3,5001,1,190.0-191.0,73952256,591618048
20220706200951,192.168.1.2,54076,192.168.1.3,5001,1,191.0-192.0,41104376,328835008
20220706200952,192.168.1.2,54076,192.168.1.3,5001,1,192.0-193.0,40665632,325325056
20220706200953,192.168.1.2,54076,192.168.1.3,5001,1,193.0-194.0,135761584,1086092672
20220706200954,192.168.1.2,54076,192.168.1.3,5001,1,194.0-195.0,109241464,873931712
20220706200955,192.168.1.2,54076,192.168.1.3,5001,1,195.0-196.0,60338160,482705280
20220706200956,192.168.1.2,54076,192.168.1.3,5001,1,196.0-197.0,142086448,1136691584
20220706200957,192.168.1.2,54076,192.168.1.3,5001,1,197.0-198.0,187255360,1498042880
20220706200958,192.168.1.2,54076,192.168.1.3,5001,1,198.0-199.0,186037592,1488300736
20220706200959,192.168.1.2,54076,192.168.1.3,5001,1,199.0-200.0,194602512,1556820096
20220706201000,192.168.1.2,54076,192.168.1.3,5001,1,200.0-201.0,194886320,1559090560
20220706201001,192.168.1.2,54076,192.168.1.3,5001,1,201.0-202.0,186965760,1495726080
20220706201002,192.168.1.2,54076,192.168.1.3,5001,1,202.0-203.0,94332856,754662848
20220706201003,192.168.1.2,54076,192.168.1.3,5001,1,203.0-204.0,106277408,850219264
20220706201004,192.168.1.2,54076,192.168.1.3,5001,1,204.0-205.0,61225784,489806272
20220706201005,192.168.1.2,54076,192.168.1.3,5001,1,205.0-206.0,54467968,435743744
20220706201006,192.168.1.2,54076,192.168.1.3,5001,1,206.0-207.0,57081608,456652864
20220706201007,192.168.1.2,54076,192.168.1.3,5001,1,207.0-208.0,164369720,1314957760
20220706201008,192.168.1.2,54076,192.168.1.3,5001,1,208.0-209.0,105528792,844230336
20220706201009,192.168.1.2,54076,192.168.1.3,5001,1,209.0-210.0,95993712,767949696
20220706201010,192.168.1.2,54076,192.168.1.3,5001,1,210.0-211.0,134703096,1077624768
20220706201011,192.168.1.2,54076,192.168.1.3,5001,1,211.0-212.0,197405840,1579246720
20220706201012,192.168.1.2,54076,192.168.1.3,5001,1,212.0-213.0,195041256,1560330048
20220706201013,192.168.1.2,54076,192.168.1.3,5001,1,213.0-214.0,189844384,1518755072
20220706201014,192.168.1.2,54076,192.168.1.3,5001,1,214.0-215.0,181806536,1454452288
20220706201015,192.168.1.2,54076,192.168.1.3,5001,1,215.0-216.0,182514608,1460116864
20220706201016,192.168.1.2,54076,192.168.1.3,5001,1,216.0-217.0,145363272,1162906176
20220706201017,192.168.1.2,54076,192.168.1.3,5001,1,217.0-218.0,145008512,1160068096
20220706201018,192.168.1.2,54076,192.168.1.3,5001,1,218.0-219.0,134089144,1072713152
20220706201019,192.168.1.2,54076,192.168.1.3,5001,1,219.0-220.0,36069680,288557440
20220706201020,192.168.1.2,54076,192.168.1.3,5001,1,220.0-221.0,25823632,206589056
20220706201021,192.168.1.2,54076,192.168.1.3,5001,1,221.0-222.0,50368680,402949440
20220706201022,192.168.1.2,54076,192.168.1.3,5001,1,222.0-223.0,146996616,1175972928
20220706201023,192.168.1.2,54076,192.168.1.3,5001,1,223.0-224.0,112277920,898223360
20220706201024,192.168.1.2,54076,192.168.1.3,5001,1,224.0-225.0,124095048,992760384
20220706201025,192.168.1.2,54076,192.168.1.3,5001,1,225.0-226.0,175963856,1407710848
20220706201026,192.168.1.2,54076,192.168.1.3,5001,1,226.0-227.0,164930096,1319440768
20220706201027,192.168.1.2,54076,192.168.1.3,5001,1,227.0-228.0,192294400,1538355200
20220706201028,192.168.1.2,54076,192.168.1.3,5001,1,228.0-229.0,194402688,1555221504
20220706201029,192.168.1.2,54076,192.168.1.3,5001,1,229.0-230.0,188076376,1504611008
20220706201030,192.168.1.2,54076,192.168.1.3,5001,1,230.0-231.0,180429488,1443435904
20220706201031,192.168.1.2,54076,192.168.1.3,5001,1,231.0-232.0,158388032,1267104256
20220706201032,192.168.1.2,54076,192.168.1.3,5001,1,232.0-233.0,161824136,1294593088
20220706201033,192.168.1.2,54076,192.168.1.3,5001,1,233.0-234.0,87910976,703287808
20220706201034,192.168.1.2,54076,192.168.1.3,5001,1,234.0-235.0,63619328,508954624
20220706201035,192.168.1.2,54076,192.168.1.3,5001,1,235.0-236.0,34654984,277239872
20220706201036,192.168.1.2,54076,192.168.1.3,5001,1,236.0-237.0,70287368,562298944
20220706201037,192.168.1.2,54076,192.168.1.3,5001,1,237.0-238.0,112566072,900528576
20220706201038,192.168.1.2,54076,192.168.1.3,5001,1,238.0-239.0,129087752,1032702016
20220706201039,192.168.1.2,54076,192.168.1.3,5001,1,239.0-240.0,88375784,707006272
20220706201040,192.168.1.2,54076,192.168.1.3,5001,1,240.0-241.0,142648272,1141186176
20220706201041,192.168.1.2,54076,192.168.1.3,5001,1,241.0-242.0,178633968,1429071744
20220706201042,192.168.1.2,54076,192.168.1.3,5001,1,242.0-243.0,197408736,1579269888
20220706201043,192.168.1.2,54076,192.168.1.3,5001,1,243.0-244.0,188906080,1511248640
